Date,salaire_mensuel,taux_cotisation,cotisations,CAC40_Norm,SP500_Norm,WGBI_Norm,CAC40_50/50,CAC40_75/25,SNP500_50/50,SNP500_75/25
2006-11-01,1837.9859127006255,19.319772983683098,355.09470580583667,6.206328533523534,8.240191596367788,3.527226980305482,143012.85483725026,149748.81048328913,144538.3029174735,155826.39298943113
2006-12-01,1837.9859127006255,19.319772983683098,355.09470580583667,6.19503270113041,8.37697386631165,3.4794115325413424,142268.4558177476,149391.9898450291,145113.3345013288,157593.35703321084
2007-01-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.4665800494778285,8.481040999874152,3.483357343016142,145834.5815952337,154713.00138063089,146464.41263307355,159473.79727617232
2007-02-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.569022325505106,8.599880685758466,3.5062300193393066,147835.94189882345,157172.59702327562,148338.85803816462,161778.9658544386
2007-03-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.38114013329269,8.413876043691609,3.4863707226585627,145670.54879887745,153945.96620714827,146681.99459544301,159293.00371869488
2007-04-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.521831489749544,8.497786973611694,3.4369153806685877,146610.65202173786,156313.09669992203,146740.47612994295,160286.9842481192
2007-05-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.941435392132648,8.865849414913951,3.4148537711646996,151223.8722952419,163972.37240668907,149814.8018008975,165604.0387505737
2007-06-01,1879.0221909600295,19.554011427630005,367.4242139480279,7.089862301328765,9.154425975205015,3.3817973714330822,152476.14972709547,166572.61006613428,151895.28700244785,169613.40653097478
2007-07-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.9830709004817555,8.99916304810379,3.436410190630303,152926.40675661748,165730.7755654049,152201.08952784853,168508.06843993114
2007-08-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.5203353455081725,8.70323014516201,3.5078077515096497,149815.63059017714,158722.3835935799,151647.1107775182,165594.7800557012
2007-09-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.591069783396593,8.815550166509713,3.443888384575917,149630.70370421154,159658.14583166855,151611.42124836153,166810.65563108164
2007-10-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.576792988366611,9.134509969729738,3.4390140900659114,149730.18213289708,159709.70272627502,154614.3182369181,171645.65058196415
2007-11-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.7866756362100915,9.245155904763617,3.4846558392864195,153480.3380838192,164429.59933710823,156944.16242054192,174141.93692012553
2007-12-01,1879.0221909600295,19.554011427630005,367.4242139480279,6.557436551457333,8.84946191321308,3.4802906816118715,151159.51609151615,160579.97451157047,153854.66998048272,168864.85030998988
2008-01-01,1920.9746765318764,19.79108984535243,380.1818241388919,6.506267512334764,8.779724865410998,3.564324900343371,152774.86309459538,160989.70803506108,155486.10380127904,169266.33580742116
2008-02-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.724364523699171,8.24521531548049,3.560910920787781,143901.87567242185,146820.90838807554,151058.82570636913,161877.28653747216
2008-03-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.4778331374496245,7.957236695307621,3.5213472392153764,140383.92965524102,142050.9194276578,147961.83681123532,157567.4455912049
2008-04-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.438899409636317,7.933074511898981,3.4659707147649685,139161.38651410225,141115.40915760057,146953.95516456742,156969.31237250153
2008-05-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.865542891529068,8.28929423445002,3.4206595098077908,144090.0454805884,149336.5197429214,149672.90523533992,162122.78059089294
2008-06-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.809201338590948,8.370933137938087,3.3894008761889722,143119.83680253016,148299.694729818,150106.26035696978,163330.11115517118
2008-07-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.115487048936714,7.635705530553672,3.4281130362710655,135771.9102179644,135821.26008095418,144751.67103868877,153417.57525341143
2008-08-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.0391972836418395,7.59222528178795,3.562352488455618,137797.9815166516,136011.90125663535,147553.84333076008,154644.4460624902
2008-09-01,1920.9746765318764,19.79108984535243,380.1818241388919,5.167444366932859,7.702332413638401,3.690549394166634,142411.0754748213,140211.85138586652,151658.96312624062,158097.97114205698
2008-10-01,1920.9746765318764,19.79108984535243,380.1818241388919,4.721862088697829,6.962739624365476,4.009399297470103,142803.18940163127,134552.76065609677,151309.2406214631,150507.27016722286
2008-11-01,1920.9746765318764,19.79108984535243,380.1818241388919,4.0743994390291665,5.793480864775459,4.157140742787229,136023.8318157346,122335.04295059004,141772.45795379227,133317.84408562322
2008-12-01,1920.9746765318764,19.79108984535243,380.1818241388919,3.7823817568297087,5.314653119441368,4.065689505466314,130033.3419504012,115466.4874687065,134734.53801140134,124700.84439181071
2009-01-01,1963.863825360881,20.031042669503314,393.3824008289782,3.7585136692122534,5.400657934903559,4.2211696333425435,132502.81552871113,116417.31346326439,138794.35643267728,127799.91577165296
2009-02-01,1963.863825360881,20.031042669503314,393.3824008289782,3.397176713567671,4.922787331809949,4.134703200852508,125169.80927978389,107820.40458456888,131625.68281557213,119057.67058007747
2009-03-01,1963.863825360881,20.031042669503314,393.3824008289782,3.0535726348247922,4.363457061246608,4.055305482101274,118031.30041303312,99517.13347427851,123277.57945716806,108733.93700312827
2009-04-01,1963.863825360881,20.031042669503314,393.3824008289782,3.238752763355261,4.74635192189106,4.0628981331649365,122114.10737455125,104483.41669022947,129195.19172132792,116334.29471761946
2009-05-01,1963.863825360881,20.031042669503314,393.3824008289782,3.688359397779278,5.219736878969783,3.9300104590125113,128986.45597086918,114900.81139584258,133918.48531683104,124478.51244750085
2009-06-01,1963.863825360881,20.031042669503314,393.3824008289782,3.872901314894143,5.52189011134627,3.970307258160003,133267.95554726507,119900.4072140412,138874.48993180878,130595.21916980721
2009-07-01,1963.863825360881,20.031042669503314,393.3824008289782,3.668956524901873,5.507296795042792,3.9957976477088843,130580.23761868752,115750.82178863515,139530.16766108354,130939.36132108855
2009-08-01,1963.863825360881,20.031042669503314,393.3824008289782,3.9750420402747397,5.922368353927983,4.025879149070529,136912.02090276626,123604.50635987738,145706.7860721419,138980.6167041063
2009-09-01,1963.863825360881,20.031042669503314,393.3824008289782,4.2644038116142315,6.097607883610482,4.043843983107709,142594.10809929456,130884.08959053807,148580.9556380472,142613.31210805723
2009-10-01,1963.863825360881,20.031042669503314,393.3824008289782,4.40946751087488,6.3092706545098896,4.009534475273316,144807.91576644543,134339.1014183029,150922.8322332393,146417.03881685404
2009-11-01,1963.863825360881,20.031042669503314,393.3824008289782,4.179381252849945,6.197249238178476,4.064953427793346,142424.00811343457,129939.3193132377,151019.40542924378,145366.62629993522
2009-12-01,1963.863825360881,20.031042669503314,393.3824008289782,4.314656589804726,6.572308820009164,4.038640131033667,144661.361417872,133276.76045853863,155493.86995812578,152122.98890169893
2010-01-01,2007.710550106814,20.273904750206913,407.04132458851075,4.5836411823745795,6.677990902950723,4.174023167699412,152002.31105125425,141032.28668623423,159757.30218358713,155639.48659306605
2010-02-01,2007.710550106814,20.273904750206913,407.04132458851075,4.30641052456221,6.422787286179598,4.261710147215535,149409.2187725168,135782.51964105375,158789.80417953583,152403.042566623
2010-03-01,2007.710550106814,20.273904750206913,407.04132458851075,4.337016924188779,6.611004817743709,4.222633895094131,149662.22095538842,136602.0807280111,160795.50167114745,155810.32070112458
2010-04-01,2007.710550106814,20.273904750206913,407.04132458851075,4.635042118191638,7.004964125874426,4.281688834510795,156257.94209499907,144526.85457306702,167117.950161621,163725.8480455489
2010-05-01,2007.710550106814,20.273904750206913,407.04132458851075,4.403390345119288,7.108731924335022,4.594665903619213,158471.19139540603,142157.5921156789,174870.66988412506,168943.85220263732
2010-06-01,2007.710550106814,20.273904750206913,407.04132458851075,4.0379129433653995,6.5029908413497495,4.68270414808383,153819.9808791525,134396.38936058193,169502.61769980693,159363.28862960322
2010-07-01,2007.710550106814,20.273904750206913,407.04132458851075,3.9278860314952735,6.166865995249515,4.561542408335636,150141.3504062248,131187.50617445662,163336.17445227673,152561.63097903773
2010-08-01,2007.710550106814,20.273904750206913,407.04132458851075,4.263162782051413,6.623983549710936,4.767965820736472,160353.45146773403,141477.13782084704,173492.5691345799,163176.08705122903
2010-09-01,2007.710550106814,20.273904750206913,407.04132458851075,4.068310664281542,6.278229604442352,4.542766507479181,153309.04925511117,135363.860825418,165274.5122768404,155268.3445002547
2010-10-01,2007.710550106814,20.273904750206913,407.04132458851075,4.317729858085545,6.839055090343988,4.524118877530884,158100.95154412728,141856.1339762537,172724.2061504866,165918.47367119213
2010-11-01,2007.710550106814,20.273904750206913,407.04132458851075,4.482544416838407,7.0915668814548125,4.599746418281565,162846.92336722848,146917.16494032412,177763.58570738125,171613.44505871832
2010-12-01,2007.710550106814,20.273904750206913,407.04132458851075,4.2152994741964465,7.096889935669418,4.5408779650313775,157357.50365260697,140284.8436547627,177099.816712703,171568.0128259248
2011-01-01,2052.5362303414718,20.519711360120343,421.17451002796486,4.462352698795131,7.521650825786149,4.441649563878912,160670.62980212193,146106.0675859234,180885.83856059212,178753.37780244937
2011-02-01,2052.5362303414718,20.519711360120343,421.17451002796486,4.682140082010945,7.710167692452165,4.425792319532699,164761.80872973768,151794.03623043897,183250.91225173263,182375.112136973
2011-03-01,2052.5362303414718,20.519711360120343,421.17451002796486,4.785962695505423,7.94641171590288,4.319294904684848,165027.3884035361,153826.49054482408,184274.76950324958,185890.22760084432
2011-04-01,2052.5362303414718,20.519711360120343,421.17451002796486,4.655975962286511,7.951435435015582,4.263216837036745,162136.20327691763,150614.93154519337,183557.95945477477,185796.18159281902
2011-05-01,2052.5362303414718,20.519711360120343,421.17451002796486,4.798824326092109,8.1651314943511,4.394570193787741,167542.37729345143,155661.97264365185,189273.49712240163,191393.46679196367
2011-06-01,2052.5362303414718,20.519711360120343,421.17451002796486,4.656277512933191,8.045454400267065,4.366527213166515,164940.60078933227,152366.91740798022,187703.6684374879,189405.35357699823
