Date,CAC40_TR
2003-08-01,4932.72998046875
2003-09-01,5226.68994140625
2003-10-01,4966.009765625
2003-11-01,5352.06005859375
2003-12-01,5431.7099609375
2004-01-01,5598.35986328125
2004-02-01,5705.259765625
2004-03-01,5835.7900390625
2004-04-01,5713.81982421875
2004-05-01,5795.10009765625
2004-06-01,5787.02978515625
2004-07-01,5974.9599609375
2004-08-01,5826.3798828125
2004-09-01,5809.39990234375
2004-10-01,5997.740234375
2004-11-01,6004.0400390625
2004-12-01,6123.81982421875
2005-01-01,6224.669921875
2005-02-01,6360.02001953125
2005-03-01,6546.97021484375
2005-04-01,6587.5
2005-05-01,6377.47021484375
2005-06-01,6875.56005859375
2005-07-01,7054.240234375
2005-08-01,7364.06982421875
2005-09-01,7310.0
2005-10-01,7637.7998046875
2005-11-01,7327.52001953125
