Date,CAC40
2006-03-01,5008.7099609375
2006-04-01,5251.56005859375
2006-05-01,5187.33984375
2006-06-01,4927.1298828125
2006-07-01,4967.06982421875
2006-08-01,5010.9501953125
2006-09-01,5181.97998046875
2006-10-01,5268.6298828125
2006-11-01,5351.35986328125
2006-12-01,5341.6201171875
2007-01-01,5575.759765625
2007-02-01,5664.08984375
2007-03-01,5502.08984375
2007-04-01,5623.39990234375
2007-05-01,5985.2001953125
2007-06-01,6113.18017578125
2007-07-01,6021.10009765625
2007-08-01,5622.10986328125
2007-09-01,5683.10009765625
2007-10-01,5670.7900390625
2007-11-01,5851.759765625
2007-12-01,5654.10009765625
2008-01-01,5609.97998046875
2008-02-01,4935.7900390625
2008-03-01,4723.22021484375
2008-04-01,4689.64990234375
2008-05-01,5057.52001953125
2008-06-01,5008.93994140625
2008-07-01,4410.7900390625
2008-08-01,4345.009765625
2008-09-01,4455.58984375
2008-10-01,4071.389892578125
2008-11-01,3513.1201171875
2008-12-01,3261.330078125
2009-01-01,3240.75
2009-02-01,2929.18994140625
2009-03-01,2632.919921875
2009-04-01,2792.590087890625
2009-05-01,3180.260009765625
2009-06-01,3339.3798828125
2009-07-01,3163.530029296875
2009-08-01,3427.449951171875
2009-09-01,3676.949951171875
2009-10-01,3802.030029296875
2009-11-01,3603.639892578125
2009-12-01,3720.280029296875
2010-01-01,3952.2099609375
2010-02-01,3713.169921875
2010-03-01,3739.56005859375
2010-04-01,3996.530029296875
2010-05-01,3796.7900390625
2010-06-01,3481.659912109375
2010-07-01,3386.7900390625
2010-08-01,3675.8798828125
2010-09-01,3507.8701171875
2010-10-01,3722.929931640625
2010-11-01,3865.0400390625
2010-12-01,3634.610107421875
2011-01-01,3847.6298828125
2011-02-01,4037.139892578125
2011-03-01,4126.66015625
2011-04-01,4014.580078125
2011-05-01,4137.75
2011-06-01,4014.840087890625
2011-07-01,3981.9599609375
2011-08-01,3718.110107421875
2011-09-01,3273.050048828125
2011-10-01,2913.070068359375
2011-11-01,3162.570068359375
2011-12-01,3151.35009765625
2012-01-01,3231.429931640625
2012-02-01,3320.320068359375
2012-03-01,3444.530029296875
2012-04-01,3439.169921875
2012-05-01,3265.1201171875
2012-06-01,3028.300048828125
2012-07-01,3197.0400390625
2012-08-01,3298.699951171875
2012-09-01,3401.9599609375
2012-10-01,3348.070068359375
2012-11-01,3420.47998046875
2012-12-01,3567.89990234375
2013-01-01,3702.659912109375
2013-02-01,3734.659912109375
2013-03-01,3712.419921875
2013-04-01,3729.820068359375
2013-05-01,3828.6201171875
2013-06-01,3929.679931640625
2013-07-01,3761.570068359375
2013-08-01,3996.81005859375
2013-09-01,3974.7900390625
2013-10-01,4151.919921875
2013-11-01,4302.02978515625
2013-12-01,4294.64990234375
2014-01-01,4307.39990234375
2014-02-01,4160.27978515625
2014-03-01,4338.7900390625
2014-04-01,4408.740234375
2014-05-01,4473.830078125
2014-06-01,4523.89990234375
2014-07-01,4438.77001953125
2014-08-01,4236.35009765625
2014-09-01,4383.6201171875
2014-10-01,4400.60986328125
2014-11-01,4225.81005859375
2014-12-01,4354.18994140625
2015-01-01,4294.0498046875
2015-02-01,4613.31005859375
2015-03-01,4937.43017578125
2015-04-01,5009.6298828125
2015-05-01,5060.5
2015-06-01,5029.0498046875
2015-07-01,4849.43017578125
2015-08-01,5076.7998046875
2015-09-01,4586.330078125
2015-10-01,4518.02978515625
2015-11-01,4848.85986328125
2015-12-01,4960.3798828125
2016-01-01,4582.0498046875
2016-02-01,4418.14013671875
2016-03-01,4343.93017578125
2016-04-01,4331.27978515625
2016-05-01,4455.759765625
2016-06-01,4502.83984375
2016-07-01,4261.08984375
2016-08-01,4469.990234375
2016-09-01,4448.02978515625
2016-10-01,4447.5400390625
2016-11-01,4532.33984375
2016-12-01,4571.2001953125
2017-01-01,4845.9599609375
2017-02-01,4786.85009765625
2017-03-01,4897.47998046875
2017-04-01,5130.18017578125
2017-05-01,5284.8798828125
2017-06-01,5290.83984375
2017-07-01,5151.18994140625
2017-08-01,5116.89990234375
2017-09-01,5117.18994140625
2017-10-01,5332.919921875
2017-11-01,5524.3798828125
2017-12-01,5374.1298828125
2018-01-01,5318.740234375
2018-02-01,5510.58984375
2018-03-01,5304.81005859375
2018-04-01,5144.6298828125
2018-05-01,5511.4599609375
2018-06-01,5440.419921875
2018-07-01,5264.39990234375
2018-08-01,5520.330078125
2018-09-01,5400.7001953125
2018-10-01,5494.93017578125
2018-11-01,5076.5498046875
2018-12-01,5112.580078125
2019-01-01,4642.18017578125
2019-02-01,5004.64990234375
2019-03-01,5267.14013671875
2019-04-01,5394.5
2019-05-01,5568.2001953125
2019-06-01,5171.60986328125
2019-07-01,5584.1298828125
2019-08-01,5500.91015625
2019-09-01,5483.43017578125
2019-10-01,5696.2001953125
2019-11-01,5749.47998046875
2019-12-01,5910.1201171875
2020-01-01,6016.60986328125
2020-02-01,5822.0400390625
2020-03-01,5416.02001953125
2020-04-01,4259.93994140625
2020-05-01,4413.14013671875
2020-06-01,4776.72021484375
2020-07-01,4939.7998046875
2020-08-01,4797.06005859375
2020-09-01,4974.419921875
2020-10-01,4850.2001953125
2020-11-01,4614.9501953125
2020-12-01,5542.4599609375
2021-01-01,5614.0400390625
2021-02-01,5441.43017578125
2021-03-01,5770.89013671875
2021-04-01,6079.669921875
2021-05-01,6285.509765625
2021-06-01,6470.419921875
2021-07-01,6549.81982421875
2021-08-01,6657.9501953125
2021-09-01,6736.43994140625
2021-10-01,6421.10009765625
2021-11-01,6870.27978515625
2021-12-01,6774.7998046875
2022-01-01,7197.39990234375
2022-02-01,7052.2998046875
2022-03-01,6646.16015625
2022-04-01,6672.97998046875
2022-05-01,6469.31005859375
2022-06-01,6509.18994140625
2022-07-01,5875.60009765625
2022-08-01,6447.18017578125
2022-09-01,6068.33984375
2022-10-01,5697.47021484375
2022-11-01,6329.759765625
2022-12-01,6784.60009765625
2023-01-01,6521.06982421875
2023-02-01,7087.2001953125
2023-03-01,7279.33984375
2023-04-01,7341.68994140625
2023-05-01,7466.81982421875
2023-06-01,7139.39013671875
2023-07-01,7415.169921875
2023-08-01,7478.10009765625
2023-09-01,7310.68017578125
2023-10-01,7164.0498046875
2023-11-01,6914.31982421875
2023-12-01,7336.5498046875
2024-01-01,7577.330078125
2024-02-01,7590.14990234375
2024-03-01,7950.66015625
2024-04-01,8195.650390625
2024-05-01,7954.009765625
2024-06-01,8069.6201171875
2024-07-01,7673.47998046875
2024-08-01,7478.14013671875
2024-09-01,7628.85986328125
2024-10-01,7623.330078125
2024-11-01,7364.080078125
2024-12-01,7147.3701171875
