Date,SP500_TR,CAC40_TR,WGBI_TR
1989-06-01,339.25,1800.9599609375,12541.165094525792
1989-07-01,337.19000244140625,1825.3399658203125,12480.06867427083
1989-08-01,363.7699890136719,1940.5,12709.328255120969
1989-09-01,375.7799987792969,2000.8699951171875,12417.62047598374
1989-10-01,373.5899963378906,1991.3599853515625,12366.696925445
1989-11-01,364.010009765625,1932.2900390625,12172.0902237834
1989-12-01,375.5199890136719,2038.1600341796875,11782.7090815803
1990-01-01,386.1600036621094,2111.550048828125,11466.767967794136
1990-02-01,353.67999267578125,2013.3299560546875,11381.773690650038
1990-03-01,359.4599914550781,1946.3199462890625,11229.743063503967
1990-04-01,366.7200012207031,2068.89990234375,11101.53135730355
1990-05-01,360.4800109863281,2198.280029296875,11542.112325847576
1990-06-01,395.9400024414063,2223.679931640625,11474.33595137546
1990-07-01,392.80999755859375,2206.050048828125,11279.877254607884
1990-08-01,389.2200012207031,2139.909912109375,11075.541697912144
1990-09-01,355.32000732421875,1794.8499755859375,11211.775269368907
1990-10-01,347.29998779296875,1682.1800537109375,11245.845995974269
1990-11-01,339.3500061035156,1784.7900390625,11425.642341240084
1990-12-01,360.0,1796.56005859375,11480.887634684454
1991-01-01,363.4400024414063,1643.9000244140625,11608.694794174527
1991-02-01,382.6799926757813,1726.25,12000.18747286577
1991-03-01,414.9200134277344,1911.0799560546875,12925.218060543866
1991-04-01,416.739990234375,1999.6300048828125,13165.331333622766
1991-05-01,427.5899963378906,1997.8699951171875,13399.297470103014
1991-06-01,438.3800048828125,2048.39990234375,13771.539645577614
1991-07-01,427.7300109863281,1977.8599853515625,13576.952677901883
1991-08-01,438.8900146484375,1996.5699462890625,13869.51888542448
1991-09-01,446.3900146484375,2105.85009765625,13757.301574772073
1991-10-01,444.0799865722656,2132.81005859375,13973.822867742829
1991-11-01,447.2000122070313,2080.989990234375,13858.45798634408
1991-12-01,437.6700134277344,1931.800048828125,13689.28839246951
1992-01-01,479.8399963378906,1978.300048828125,14134.427911749612
1992-02-01,471.6799926757813,2100.320068359375,14314.99388246438
1992-03-01,476.6600036621094,2239.080078125,14220.11287839918
1992-04-01,468.1600036621094,2181.409912109375,14291.68804515136
1992-05-01,478.4500122070313,2311.159912109375,14345.857836365789
1992-06-01,486.0400085449219,2293.409912109375,14033.577376958598
1992-07-01,481.9500122070313,2172.85009765625,13987.616923866282
1992-08-01,497.0499877929688,2083.080078125,13748.776492876032
