Date,salaire_SMIC,taux_SMIC,cotisations_SMIC,cotisations_cumulees_SMIC,salaire_median,taux_median,cotisations_median,cotisations_cumulees_median,salaire_D9,taux_D9,cotisations_D9,cotisations_cumulees_D9,SP500_var,CAC40_var,WGBI_var,CAC40_50/50_SMIC,CAC40_50/50_median,CAC40_50/50_D9,SNP500_50/50_SMIC,SNP500_50/50_median,SNP500_50/50_D9,CAC40_75/25_SMIC,CAC40_75/25_median,CAC40_75/25_D9,SNP500_75/25_SMIC,SNP500_75/25_median,SNP500_75/25_D9
2017-04-01,1493.1742987993766,23.635680493465443,352.92190647476366,77244.11226365082,2343.3071404624166,23.635680493465443,553.8565887002583,130351.2065775229,4356.505668115594,18.431796890672267,802.9822762776911,169570.85200273976,-0.006060814781081003,0.04936708128291589,-0.005061015939373026,200409.7699460151,350018.3382797196,432433.2014432997,228599.5765485755,399830.77831737,492882.5776372467,216546.764163565,379079.72551912593,466709.4805048909,271864.45438853104,477309.30281686864,585033.5265834916
2017-05-01,1493.1742987993766,23.635680493465443,352.92190647476366,77597.03417012558,2343.3071404624166,23.635680493465443,553.8565887002583,130905.06316622316,4356.505668115594,18.431796890672267,802.9822762776911,170373.83427901746,0.012208779939805625,0.033685117686399924,-0.015256389827968286,202526.02709134755,353651.8834000782,437041.0117115581,228509.12505262066,399609.1551993483,492729.6044006371,221454.53632967692,387607.1548964723,477329.24211132346,273556.7906542462,480214.75382577314,588718.836039707
2017-06-01,1493.1742987993766,23.635680493465443,352.92190647476366,77949.95607660034,2343.3071404624166,23.635680493465443,553.8565887002583,131458.9197549234,4356.505668115594,18.431796890672267,802.9822762776911,171176.81655529517,0.013981859079214898,0.017767189912467396,-0.01592270199471779,202981.53432691636,354384.8749639931,438065.3679843434,228545.30216541194,399609.09903122316,492849.5962849482,223784.826254088,391621.9565817072,482394.2981884809,275575.6745007323,483693.1201698054,593107.118362327
2017-07-01,1493.1742987993766,23.635680493465443,352.92190647476366,78302.8779830751,2343.3071404624166,23.635680493465443,553.8565887002583,132012.77634362367,4356.505668115594,18.431796890672267,802.9822762776911,171979.79883157287,0.00791437640513748,-0.022390730718198637,-0.014621755654503854,199493.64815977294,348233.07582177507,430579.2957527516,228036.74438844124,398656.66729601735,491794.82909024134,219468.65638649,384004.9336401492,473132.50848163,276442.442676326,485148.88475763536,595016.0251020413
2017-08-01,1493.1742987993766,23.635680493465443,352.92190647476366,78655.79988954986,2343.3071404624166,23.635680493465443,553.8565887002583,132566.63293232393,4356.505668115594,18.431796890672267,802.9822762776911,172782.78110785058,0.01992676909756197,-0.006043175386123645,0.0032854681583982526,199488.56505757078,348162.0043163672,430609.5740059487,230941.48954204068,403671.6529626452,498101.1940825538,218915.8905484079,382974.10580067855,471983.0009512145,281038.9576094107,493150.13040965545,604952.937141053
2017-09-01,1493.1742987993766,23.635680493465443,352.92190647476366,79008.72179602462,2343.3071404624166,23.635680493465443,553.8565887002583,133120.4895210242,4356.505668115594,18.431796890672267,802.9822762776911,173585.76338412828,0.0014891990236680641,5.7023306350156844e-05,-0.006400752581038227,199125.80588113682,347466.80204194464,429867.71020973846,230631.26489579672,403066.36978125357,497473.8829524109,218836.86173748886,382772.30258172646,471854.69680809235,281139.22444690083,493260.64319549553,605212.0644750624
2017-10-01,1493.1742987993766,23.635680493465443,352.92190647476366,79361.64370249938,2343.3071404624166,23.635680493465443,553.8565887002583,133674.34610972446,4356.505668115594,18.431796890672267,802.9822762776911,174388.74566040598,0.02016747059763402,0.04352171269751848,0.01004503455113026,204729.20909129735,357182.5447041241,442005.2975891925,234372.28410086082,409541.48808277963,505585.024075718,226791.4821393931,396622.4549294018,489048.41467758175,286333.68619230506,502309.0137023631,616437.4925232576
2017-11-01,1493.1742987993766,23.635680493465443,352.92190647476366,79714.56560897414,2343.3071404624166,23.635680493465443,553.8565887002583,134228.20269842472,4356.505668115594,18.431796890672267,802.9822762776911,175191.7279366837,0.02574028627713454,0.03642993167541797,-0.009496858278127074,207754.01543391586,362397.92705308646,448576.81226279406,236531.27863051946,413251.271032491,510284.04412018997,232708.17046812203,406906.4595652492,501848.98664625967,291415.490615411,511158.6469578998,627421.1158542223
2017-12-01,1493.1742987993766,23.635680493465443,352.92190647476366,80067.4875154489,2343.3071404624166,23.635680493465443,553.8565887002583,134782.05928712498,4356.505668115594,18.431796890672267,802.9822762776911,175994.7102129614,0.02657910412436859,-0.026679120295068137,-0.005823618273873676,204644.28368697446,356911.66690334526,441903.3270706794,239240.5317766324,417921.94838752685,516170.49037303345,227969.2142899658,398556.81233718555,491671.03150311654,297032.16563373426,520945.413275904,639557.022965905
2018-01-01,1534.9105441476213,23.90945540395344,366.9887520435546,80434.47626749246,2395.6256066697947,23.90945540395344,572.7810360724037,135354.8403231974,4473.928872096625,18.715264078503147,837.3076030972807,176832.01781605868,0.01589843490790499,-0.008240616033261317,-0.021012224287137116,201932.9854958117,352115.7344610236,436093.4651688526,238896.3518429149,417252.41065521043,515473.4246551003,225634.94271840612,394407.0008634692,486682.41452336585,299257.10699712584,524776.736661761,644394.795092399
